Dept,location,education,job_level,rating,onsite,certifications,salary,age_group
0,0,0,1,3,0,1,24076,2
1,0,1,5,1,0,0,86750,1
3,0,0,4,4,0,1,65715,1
4,1,0,1,4,1,1,24076,1
4,1,0,2,1,0,1,29805,0
2,1,0,4,3,1,1,65715,1
3,1,1,3,1,0,1,42419,0
3,0,0,2,3,1,1,29805,1
0,1,0,5,4,0,0,86750,1
4,0,0,4,2,0,0,65715,1
3,0,0,2,1,1,1,29805,2
3,1,0,2,5,0,0,29805,1
4,1,1,2,2,0,1,29805,1
3,0,0,4,1,1,0,65715,0
4,1,0,2,4,0,1,29805,2
3,0,1,4,4,1,1,65715,2
0,1,1,1,2,0,0,24076,0
2,1,0,4,3,1,1,65715,2
3,0,0,1,4,0,1,24076,2
2,0,1,2,5,0,0,29805,1
2,0,0,5,4,1,0,86750,0
3,0,1,4,4,1,0,65715,0
0,1,1,2,1,1,1,29805,1
4,1,1,5,4,0,1,86750,0
1,0,1,2,1,0,0,29805,1
3,1,0,5,2,1,1,86750,0
4,0,0,1,2,0,1,24076,0
4,0,0,5,5,0,0,86750,1
0,0,0,1,5,0,0,24076,0
3,0,1,4,2,1,1,65715,1
3,0,1,5,1,0,1,86750,2
0,1,1,4,2,0,1,65715,1
0,1,0,3,2,0,0,42419,0
3,0,0,4,2,0,0,65715,2
2,1,0,2,2,0,0,29805,0
1,1,1,1,4,0,0,24076,1
3,0,0,2,4,0,0,29805,1
2,0,0,4,3,0,0,65715,2
1,1,0,4,3,0,0,65715,1
1,1,0,2,4,0,1,29805,1
4,0,1,2,2,0,1,29805,1
2,0,0,1,2,1,0,24076,1
0,1,0,2,2,1,1,29805,0
1,0,1,2,4,0,0,29805,1
0,0,0,5,5,1,1,86750,2
3,0,1,4,1,0,0,65715,1
2,1,0,3,2,0,1,42419,0
0,0,1,5,2,0,0,86750,1
1,1,0,4,3,1,1,65715,0
0,1,1,3,5,0,1,42419,2
2,1,1,1,1,1,0,24076,0
1,0,1,2,5,0,1,29805,2
2,1,0,4,3,0,0,65715,0
4,1,0,2,1,0,0,29805,1
0,1,1,2,4,1,0,29805,2
2,0,0,3,3,0,0,42419,1
2,1,0,2,3,1,1,29805,0
1,1,1,1,3,1,0,24076,1
3,0,1,2,4,1,1,29805,0
3,0,1,3,3,0,0,42419,1
1,0,1,2,5,0,0,29805,1
4,1,1,5,3,0,0,86750,1
0,0,1,4,4,1,0,65715,0
2,0,1,4,5,1,0,65715,2
0,0,1,4,5,1,1,65715,2
1,1,1,1,1,1,0,24076,1
4,1,1,1,3,0,0,24076,2
3,0,0,4,5,0,0,65715,2
1,1,1,2,4,1,0,29805,2
0,0,1,2,1,0,0,29805,0
0,0,1,2,4,0,0,29805,1
3,0,1,1,1,1,0,24076,2
2,1,0,3,3,0,0,42419,1
3,1,0,4,3,0,0,65715,1
1,1,1,5,5,1,1,86750,2
2,0,0,2,1,1,0,29805,2
2,1,1,4,4,0,1,65715,1
0,1,0,2,5,0,1,29805,0
2,0,0,1,1,0,0,24076,1
0,0,1,1,2,1,1,24076,0
1,0,0,4,1,1,1,65715,1
3,0,1,3,5,1,0,42419,1
0,0,1,1,2,0,1,24076,1
1,1,0,1,3,0,0,24076,2
4,1,1,2,2,1,1,29805,1
0,0,1,1,2,0,0,24076,1
3,0,1,1,3,0,1,24076,0
3,1,1,4,3,0,0,65715,1
1,1,1,4,2,0,0,65715,1
0,1,0,1,5,1,1,24076,1
4,0,1,3,4,0,1,42419,1
4,0,0,2,1,1,1,29805,0
4,1,0,3,2,1,1,42419,1
4,0,1,2,1,1,1,29805,2
2,0,0,2,2,1,0,29805,1
0,1,0,3,3,0,0,42419,0
3,1,0,4,4,1,1,65715,1
0,0,1,4,5,1,1,65715,2
4,1,0,3,1,0,1,42419,0
4,1,1,3,3,0,1,42419,1
0,1,1,5,2,1,0,86750,1
3,0,0,1,5,0,0,24076,2
0,1,1,5,4,1,0,86750,0
0,1,1,4,5,1,0,65715,0
1,0,0,4,1,0,0,65715,2
0,1,1,5,1,1,0,86750,1
1,0,1,4,4,1,0,65715,0
1,0,1,3,3,0,0,42419,1
0,0,0,4,4,0,0,65715,2
3,1,0,2,5,0,0,29805,0
2,1,1,1,2,0,1,24076,0
2,1,1,4,4,0,0,65715,2
4,0,0,2,1,0,0,29805,2
3,0,0,2,1,1,0,29805,1
0,0,0,4,3,0,0,65715,1
0,1,0,4,3,0,0,65715,1
0,0,1,4,5,1,1,65715,0
0,0,1,1,4,1,1,24076,1
3,1,0,4,5,1,0,65715,2
0,1,0,1,2,0,1,24076,1
0,1,0,1,4,0,0,24076,1
1,1,0,1,1,1,0,24076,1
4,1,0,3,3,1,1,42419,0
3,1,0,4,5,0,1,65715,1
1,1,0,5,3,0,1,86750,0
0,0,1,2,1,1,0,29805,0
4,1,0,1,4,1,1,24076,0
3,1,1,3,1,1,1,42419,0
0,1,0,1,5,0,0,24076,1
0,1,1,2,2,0,0,29805,0
2,0,1,1,3,1,1,24076,1
0,0,0,3,3,1,1,42419,1
4,0,1,3,2,1,0,42419,1
4,1,1,5,2,0,1,86750,0
4,0,0,1,3,0,1,24076,0
0,0,1,4,5,0,0,65715,1
2,0,1,2,2,1,1,29805,0
4,0,0,1,2,0,0,24076,1
2,1,1,3,3,0,0,42419,1
1,1,0,4,5,0,1,65715,1
2,0,1,5,5,1,1,86750,0
1,1,1,5,3,1,1,86750,1
3,1,1,4,2,1,1,65715,0
1,0,0,2,2,1,0,29805,0
3,0,0,1,4,1,1,24076,0
0,1,0,5,4,0,0,86750,0
1,1,1,3,4,1,1,42419,1
3,0,1,4,5,0,1,65715,2
0,0,0,5,5,0,0,86750,2
0,0,1,4,4,1,0,65715,0
3,0,0,2,3,0,0,29805,0
0,0,1,5,2,0,0,86750,0
1,1,1,5,4,1,1,86750,0
0,0,0,3,1,1,0,42419,1
1,1,1,5,1,0,1,86750,2
0,1,1,3,2,1,1,42419,0
1,1,0,1,1,0,1,24076,1
2,0,1,2,3,1,1,29805,1
2,1,1,2,5,1,1,29805,2
3,1,0,5,5,1,0,86750,0
2,0,1,5,2,1,1,86750,0
0,1,0,1,2,0,1,24076,0
0,0,1,5,4,0,1,86750,2
4,0,1,3,5,0,1,42419,0
2,0,1,2,2,0,1,29805,1
2,1,0,3,3,0,0,42419,2
0,1,1,1,5,0,0,24076,2
1,1,1,2,5,1,0,29805,0
4,0,1,1,1,0,0,24076,2
1,1,1,4,3,1,0,65715,1
1,1,1,2,3,0,0,29805,2
0,0,0,1,5,0,0,24076,0
1,1,0,1,1,1,0,24076,1
3,0,0,5,4,1,0,86750,0
2,0,1,5,2,1,1,86750,1
3,1,0,3,3,0,0,42419,0
1,0,1,4,5,0,0,65715,1
0,1,0,1,5,1,1,24076,2
3,1,1,3,2,0,1,42419,2
3,1,0,3,4,1,0,42419,1
2,0,0,4,2,1,0,65715,0
1,1,0,1,2,1,0,24076,1
2,1,0,5,3,1,0,86750,1
1,0,0,1,5,1,0,24076,0
4,1,0,2,3,1,0,29805,2
0,0,0,3,3,1,1,42419,1
3,1,0,1,5,1,0,24076,1
4,1,0,2,4,0,0,29805,1
4,0,1,4,4,0,1,65715,2
2,0,1,5,3,0,1,86750,1
3,0,0,4,5,0,0,65715,2
1,1,0,5,4,1,0,86750,0
2,0,1,4,1,0,1,65715,0
1,1,1,4,4,0,0,65715,2
3,1,0,5,5,1,0,86750,0
4,0,0,3,3,0,0,42419,1
1,0,0,2,2,0,1,29805,1
1,0,0,4,5,0,0,65715,0
2,1,1,2,2,0,0,29805,1
4,0,1,2,5,0,0,29805,1
2,1,0,5,1,0,1,86750,2
1,0,0,1,4,1,0,24076,0
1,1,1,1,3,1,0,24076,0
2,1,1,2,5,0,1,29805,1
0,0,1,5,1,0,0,86750,1
0,1,1,4,4,1,1,65715,1
4,0,1,4,5,1,0,65715,0
4,0,1,2,2,1,0,29805,0
2,0,1,3,2,0,0,42419,1
2,0,1,4,3,0,1,65715,0
4,0,1,4,4,0,0,65715,1
1,0,1,1,2,1,1,24076,0
0,1,0,5,4,1,0,86750,1
1,1,1,3,4,0,1,42419,1
2,1,0,4,3,1,0,65715,1
4,1,0,2,5,1,1,29805,1
1,1,0,4,5,1,1,65715,1
2,0,1,5,2,1,1,86750,1
3,0,0,1,3,1,0,24076,0
4,1,1,4,4,1,1,65715,1
1,1,1,1,1,1,0,24076,1
1,1,0,4,5,0,1,65715,1
0,0,1,2,3,0,1,29805,1
3,0,0,5,2,0,0,86750,0
1,1,0,1,2,1,0,24076,0
0,1,1,2,4,1,0,29805,2
2,0,0,2,1,0,1,29805,1
1,1,0,4,2,0,0,65715,2
0,0,1,3,2,0,0,42419,1
1,1,1,1,2,1,0,24076,1
0,1,0,4,2,0,0,65715,0
3,1,0,5,4,0,1,86750,0
4,1,1,1,1,0,1,24076,1
3,0,0,4,4,1,1,65715,0
1,1,1,2,5,1,1,29805,2
4,0,0,3,1,0,0,42419,2
0,0,1,4,3,1,1,65715,2
1,0,0,2,2,0,0,29805,1
4,0,1,2,4,0,0,29805,0
3,1,1,2,1,1,1,29805,0
4,0,0,2,3,1,0,29805,1
4,1,1,1,3,1,1,24076,0
4,0,1,3,4,1,0,42419,2
3,0,1,2,1,1,0,29805,1
4,1,0,2,5,1,1,29805,2
1,1,0,5,2,1,0,86750,2
2,1,0,5,5,0,0,86750,1
2,1,1,5,2,0,1,86750,0
3,0,0,3,2,0,1,42419,0
0,1,0,1,5,0,0,24076,2
4,0,0,5,4,0,0,86750,0
1,1,1,4,4,0,0,65715,1
1,0,1,3,3,1,0,42419,0
4,1,1,1,2,0,1,24076,1
2,0,0,2,4,0,0,29805,1
0,1,0,3,4,1,1,42419,0
0,1,1,3,2,0,0,42419,2
0,1,1,1,1,1,0,24076,1
1,0,1,2,5,0,1,29805,1
2,0,0,3,5,0,0,42419,1
2,0,1,5,5,1,0,86750,1
0,0,1,2,5,1,0,29805,2
0,0,1,5,5,0,0,86750,1
4,0,1,4,1,0,0,65715,0
4,1,1,1,4,1,1,24076,0
2,0,1,4,2,0,0,65715,2
2,0,0,2,5,0,0,29805,1
1,1,1,4,1,1,1,65715,0
2,0,0,1,2,0,1,24076,2
4,0,1,1,4,0,1,24076,1
3,0,1,5,5,0,1,86750,0
2,1,1,4,2,1,0,65715,1
0,0,0,3,2,0,0,42419,2
1,1,1,3,5,0,0,42419,1
0,0,1,2,2,1,1,29805,0
2,1,1,2,4,1,0,29805,0
3,1,0,2,1,0,1,29805,0
2,1,0,4,1,1,1,65715,1
4,1,1,4,4,0,0,65715,2
2,1,0,5,5,0,1,86750,1
2,0,0,4,4,1,1,65715,0
0,1,0,5,4,0,1,86750,0
3,1,1,5,5,1,1,86750,2
1,0,1,5,5,0,1,86750,0
4,0,1,4,5,0,1,65715,1
0,1,1,5,2,1,0,86750,1
0,0,1,1,1,0,1,24076,1
4,1,1,5,4,1,1,86750,1
3,1,0,3,1,1,0,42419,1
4,0,1,3,1,0,1,42419,0
3,0,0,5,2,0,0,86750,2
2,1,0,5,5,0,1,86750,1
1,1,0,3,2,0,1,42419,1
1,1,0,2,2,1,0,29805,1
3,1,1,4,3,1,0,65715,1
3,1,0,2,4,0,1,29805,1
3,0,0,1,1,0,0,24076,1
0,0,1,2,5,0,0,29805,2
2,1,0,2,4,0,0,29805,1
2,0,0,3,1,1,1,42419,1
