age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied,recognition_score,age_group,under_qualified_flag
26,2,0,0,3,5,5,0,5,1,86750,1,6,2,0
50,4,1,1,3,2,2,1,6,1,29805,0,7,1,0
23,3,0,0,1,4,2,0,8,0,65715,1,8,2,0
46,4,0,1,2,2,5,0,2,0,29805,0,2,1,0
29,3,1,1,0,2,1,1,1,1,29805,1,2,2,0
24,3,1,0,1,4,5,1,2,0,65715,1,2,2,0
46,2,0,1,0,2,5,1,8,1,29805,1,9,1,0
50,0,0,0,2,3,2,1,6,0,42419,0,6,1,0
27,0,0,0,0,3,2,0,8,0,42419,1,8,2,0
29,1,1,1,1,2,5,1,1,1,29805,1,2,2,0
26,2,0,1,0,5,5,1,4,0,86750,1,4,2,0
27,3,0,0,3,4,5,0,3,0,65715,1,3,2,0
46,0,1,1,2,3,2,0,1,0,42419,0,1,1,0
23,3,1,1,2,5,5,1,8,1,86750,1,9,2,0
23,0,0,1,2,2,5,0,8,0,29805,0,8,2,0
37,0,1,1,1,5,4,1,5,0,86750,1,5,0,0
42,0,1,1,2,1,1,1,5,0,24076,0,5,1,0
41,2,0,0,3,3,3,0,7,0,42419,0,7,1,0
51,4,1,0,1,2,1,0,5,0,29805,1,5,1,0
32,3,1,1,3,4,4,1,0,0,65715,1,0,0,0
50,2,0,1,0,2,3,1,3,1,29805,0,4,1,0
40,2,1,1,0,4,5,1,6,1,65715,1,7,1,0
50,2,0,0,0,2,4,0,1,0,29805,1,1,1,0
25,2,0,1,0,5,5,1,8,1,86750,1,9,2,0
33,2,1,0,3,5,2,1,7,1,86750,0,8,0,0
37,1,1,0,1,5,4,1,7,0,86750,1,7,0,0
53,3,1,0,1,1,2,1,6,1,24076,1,7,1,0
49,2,0,1,2,4,4,1,3,1,65715,1,4,1,0
52,3,1,0,3,5,4,0,1,1,86750,0,2,1,0
33,1,0,1,0,1,2,1,2,1,24076,1,3,0,0
39,1,1,0,3,4,3,1,5,1,65715,0,6,0,0
39,3,1,1,2,2,1,1,4,1,29805,1,5,0,0
28,0,1,0,2,1,5,1,7,1,24076,0,8,2,0
54,4,0,1,3,3,4,0,5,1,42419,1,6,1,0
27,0,1,0,3,1,5,0,5,0,24076,1,5,2,0
30,0,1,1,3,1,2,0,0,0,24076,0,0,0,0
24,0,0,1,1,4,5,1,3,1,65715,0,4,2,0
38,2,0,1,0,2,2,1,4,1,29805,0,5,0,0
42,1,1,1,3,3,5,0,2,0,42419,1,2,1,0
46,0,1,0,3,5,1,0,8,1,86750,1,9,1,0
34,1,1,0,3,5,1,0,0,1,86750,1,1,0,0
28,3,0,1,2,1,1,1,5,0,24076,1,5,2,0
23,4,0,0,2,4,1,1,5,0,65715,0,5,2,0
53,3,0,1,1,4,1,0,9,0,65715,1,9,1,0
26,3,0,1,0,5,1,0,4,1,86750,1,5,2,0
39,2,1,0,1,3,2,0,4,1,42419,1,5,0,0
35,4,0,1,0,2,4,1,9,0,29805,1,9,0,0
40,3,0,1,2,3,5,1,4,0,42419,1,4,1,0
27,3,0,0,2,2,1,1,5,1,29805,1,6,2,0
52,4,1,1,2,5,2,0,7,0,86750,1,7,1,0
46,4,1,1,1,2,2,0,1,1,29805,0,2,1,0
46,3,0,1,3,4,2,1,5,1,65715,1,6,1,0
49,4,0,1,3,1,4,0,0,0,24076,1,0,1,0
25,3,1,0,2,1,5,1,3,0,24076,1,3,2,0
33,3,1,0,3,5,4,0,9,1,86750,1,10,0,0
35,2,1,0,3,4,3,0,2,0,65715,0,2,0,0
26,0,1,1,1,3,2,0,8,0,42419,0,8,2,0
48,3,1,1,0,4,3,0,2,0,65715,0,2,1,0
49,1,1,0,2,1,1,1,5,0,24076,0,5,1,0
36,0,1,1,2,1,1,0,0,1,24076,0,1,0,0
44,0,1,1,1,4,4,1,5,1,65715,0,6,1,0
33,0,0,1,1,4,5,1,3,1,65715,1,4,0,0
54,2,0,1,3,1,3,1,7,1,24076,0,8,1,0
49,3,0,0,2,3,5,0,8,0,42419,0,8,1,0
32,2,0,0,0,5,4,1,3,0,86750,1,3,0,0
41,3,0,0,1,5,1,1,9,1,86750,0,10,1,0
40,2,0,1,0,4,5,1,9,1,65715,1,10,1,0
28,2,1,0,0,5,5,0,5,0,86750,1,5,2,0
49,1,1,0,2,1,1,0,0,1,24076,0,1,1,0
51,2,0,1,2,1,3,1,3,1,24076,1,4,1,0
37,4,0,1,1,4,1,0,6,0,65715,0,6,0,0
43,1,1,0,2,4,5,1,0,1,65715,0,1,1,0
52,2,1,0,2,4,3,1,7,0,65715,1,7,1,0
32,0,1,0,2,3,3,0,9,0,42419,1,9,0,0
27,4,0,0,0,5,1,1,5,1,86750,0,6,2,0
48,4,1,1,1,4,5,0,4,0,65715,1,4,1,0
51,4,0,0,3,2,4,0,9,1,29805,1,10,1,0
27,1,0,0,0,2,5,1,8,0,29805,0,8,2,0
32,2,1,1,2,1,2,0,1,1,24076,0,2,0,0
50,2,1,0,0,5,4,0,4,1,86750,1,5,1,0
27,0,0,1,2,4,3,1,5,1,65715,0,6,2,0
25,0,1,1,2,2,4,1,6,0,29805,0,6,2,0
45,4,1,1,0,5,3,0,4,0,86750,0,4,1,0
28,0,0,0,1,1,3,0,8,1,24076,0,9,2,0
26,1,1,0,2,3,4,1,0,0,42419,0,0,2,0
40,2,0,1,1,5,3,0,6,1,86750,0,7,1,0
50,4,0,0,3,5,3,0,9,1,86750,0,10,1,0
31,0,1,0,2,3,2,0,6,0,42419,1,6,0,0
39,1,0,1,1,5,5,0,3,1,86750,0,4,0,0
51,1,0,1,1,1,5,0,8,0,24076,1,8,1,0
35,0,1,0,3,1,2,0,4,1,24076,1,5,0,0
49,2,1,1,1,3,4,0,3,0,42419,1,3,1,0
37,0,1,0,1,4,1,1,6,1,65715,0,7,0,0
52,4,0,0,3,2,1,1,3,1,29805,0,4,1,0
42,0,0,0,2,4,1,1,2,0,65715,1,2,1,0
39,1,1,0,1,5,2,1,8,1,86750,0,9,0,0
35,0,0,1,1,2,2,1,7,1,29805,1,8,0,0
54,2,1,1,1,3,3,0,0,0,42419,0,0,1,0
38,3,1,1,0,3,1,0,6,1,42419,0,7,0,0
44,0,0,1,3,2,4,0,8,0,29805,1,8,1,0
26,2,1,0,0,1,4,0,7,1,24076,1,8,2,0
27,2,0,0,3,2,1,1,7,0,29805,1,7,2,0
27,1,0,1,2,5,1,0,5,1,86750,0,6,2,0
31,2,1,0,2,1,1,0,3,1,24076,1,4,0,0
39,2,0,0,1,3,2,1,7,1,42419,0,8,0,0
35,2,1,0,3,2,2,0,2,0,29805,0,2,0,0
24,2,0,1,2,4,2,0,8,0,65715,0,8,2,0
35,4,0,1,3,4,5,1,1,0,65715,1,1,0,0
44,4,0,1,2,5,4,0,1,0,86750,1,1,1,0
43,1,1,0,0,4,4,0,6,1,65715,1,7,1,0
49,0,0,1,2,2,3,0,9,1,29805,0,10,1,0
45,2,1,1,0,2,2,0,3,0,29805,0,3,1,0
41,0,0,1,2,4,5,0,9,0,65715,1,9,1,0
25,0,0,1,1,2,5,1,7,0,29805,0,7,2,0
32,1,1,1,0,5,4,1,8,1,86750,0,9,0,0
24,2,1,1,2,1,2,1,6,0,24076,1,6,2,0
54,2,1,0,1,5,3,1,4,0,86750,1,4,1,0
35,3,1,0,0,5,2,1,7,1,86750,1,8,0,0
41,0,1,1,1,2,1,1,3,1,29805,0,4,1,0
48,0,0,1,3,1,2,0,1,0,24076,0,1,1,0
39,4,0,0,3,2,1,1,5,1,29805,0,6,0,0
43,3,1,0,0,3,1,1,8,0,42419,0,8,1,0
36,4,0,1,2,2,3,0,0,1,29805,0,1,0,0
53,4,0,1,0,2,4,0,9,0,29805,1,9,1,0
34,4,0,1,1,2,2,1,6,0,29805,0,6,0,0
43,1,1,1,2,1,1,0,9,0,24076,0,9,1,0
34,1,0,0,3,2,2,1,8,0,29805,0,8,0,0
33,4,0,1,2,1,4,0,9,1,24076,1,10,0,0
29,3,0,1,3,4,4,1,8,1,65715,1,9,2,0
26,0,1,1,2,3,5,0,9,1,42419,1,10,2,0
41,3,0,1,2,1,4,0,2,1,24076,0,3,1,0
23,2,0,0,2,4,3,1,4,0,65715,1,4,2,0
50,1,1,0,1,1,1,1,7,0,24076,1,7,1,0
53,0,1,0,1,1,5,1,7,1,24076,1,8,1,0
46,0,0,1,0,3,3,1,3,1,42419,0,4,1,0
51,2,0,1,0,5,2,1,0,1,86750,1,1,1,0
25,2,1,0,3,5,1,0,0,1,86750,0,1,2,0
35,4,1,1,1,1,4,1,3,1,24076,0,4,0,0
37,1,1,1,3,2,1,1,5,0,29805,1,5,0,0
24,1,1,0,0,4,2,0,7,0,65715,0,7,2,0
33,3,1,0,3,2,5,0,5,0,29805,1,5,0,0
26,4,1,0,0,2,5,1,8,1,29805,0,9,2,0
41,4,1,0,1,1,5,0,8,1,24076,1,9,1,0
51,4,0,1,2,1,4,0,1,1,24076,1,2,1,0
39,4,1,1,1,1,3,1,9,1,24076,1,10,0,0
25,1,1,0,3,1,3,0,0,0,24076,0,0,2,0
50,1,0,1,3,5,1,0,1,0,86750,1,1,1,0
40,4,1,0,1,1,4,1,4,1,24076,0,5,1,0
30,3,1,0,1,5,5,1,3,0,86750,1,3,0,0
44,0,0,1,0,5,5,0,3,0,86750,0,3,1,0
47,0,1,0,3,1,2,0,8,1,24076,0,9,1,0
46,3,0,1,3,3,2,1,7,1,42419,1,8,1,0
48,4,0,1,1,4,5,0,5,1,65715,1,6,1,0
41,1,0,1,2,2,5,0,0,1,29805,1,1,1,0
27,0,0,1,3,5,4,0,1,1,86750,1,2,2,0
29,2,1,0,2,4,3,1,5,1,65715,1,6,2,0
43,2,0,1,1,3,2,0,1,0,42419,0,1,1,0
30,3,0,0,1,2,3,0,9,0,29805,1,9,0,0
50,4,1,0,0,2,4,1,4,1,29805,1,5,1,0
27,0,0,0,3,5,5,0,4,0,86750,0,4,2,0
39,4,0,0,2,1,3,0,5,1,24076,1,6,0,0
27,0,0,1,0,3,5,1,5,1,42419,1,6,2,0
26,3,0,1,3,5,5,1,5,1,86750,0,6,2,0
44,3,1,0,0,3,1,1,1,1,42419,1,2,1,0
41,2,0,0,1,1,3,1,9,0,24076,1,9,1,0
53,4,1,1,3,1,3,0,2,1,24076,1,3,1,0
54,2,1,0,0,5,5,0,5,0,86750,0,5,1,0
49,4,0,1,0,1,4,1,7,1,24076,1,8,1,0
43,2,0,0,2,4,1,1,0,1,65715,0,1,1,0
24,1,0,1,0,2,5,0,0,1,29805,1,1,2,0
33,1,0,0,3,5,2,1,1,0,86750,0,1,0,0
44,1,1,0,3,3,2,0,5,1,42419,1,6,1,0
35,1,1,1,2,4,1,1,8,1,65715,0,9,0,0
37,0,1,0,3,5,4,0,3,1,86750,0,4,0,0
34,1,0,0,1,1,5,1,2,0,24076,0,2,0,0
44,3,1,1,3,1,3,1,7,0,24076,0,7,1,0
43,3,0,0,3,1,1,0,9,0,24076,0,9,1,0
44,0,0,1,0,1,4,1,8,1,24076,0,9,1,0
33,1,0,1,0,3,3,0,4,0,42419,1,4,0,0
29,1,0,0,3,4,2,0,8,1,65715,1,9,2,0
50,1,0,0,2,2,2,0,1,0,29805,0,1,1,0
27,2,1,0,0,3,3,0,2,0,42419,0,2,2,0
39,4,1,0,2,3,1,0,6,1,42419,0,7,0,0
46,2,0,0,3,2,2,1,6,0,29805,0,6,1,0
42,4,1,0,3,2,5,1,5,1,29805,1,6,1,0
31,1,0,0,1,1,3,0,5,1,24076,0,6,0,0
36,1,0,1,0,3,3,1,1,0,42419,1,1,0,0
48,2,0,0,3,5,2,0,9,1,86750,1,10,1,0
34,2,1,1,1,2,1,1,5,1,29805,0,6,0,0
28,4,0,0,0,2,5,1,3,0,29805,0,3,2,0
39,3,0,0,3,4,1,1,2,0,65715,1,2,0,0
41,4,1,1,3,5,4,1,1,1,86750,1,2,1,0
41,2,1,0,0,5,4,0,0,0,86750,0,0,1,0
48,2,1,0,0,2,2,0,4,1,29805,0,5,1,0
38,0,0,1,0,1,2,1,1,1,24076,0,2,0,0
34,2,0,0,3,4,2,1,1,0,65715,1,1,0,0
34,0,1,0,3,5,4,0,6,0,86750,1,6,0,0
42,3,0,0,1,2,1,1,7,0,29805,0,7,1,0
54,4,1,1,2,5,1,0,9,0,86750,1,9,1,0
28,4,1,0,0,4,2,0,7,1,65715,1,8,2,0
53,0,0,0,3,4,5,0,3,1,65715,0,4,1,0
45,4,0,0,3,3,1,1,0,0,42419,0,0,1,0
48,2,1,0,0,2,4,0,6,0,29805,1,6,1,0
26,1,1,1,2,4,3,1,0,1,65715,1,1,2,0
28,0,1,1,0,3,3,0,3,1,42419,0,4,2,0
33,4,1,0,2,3,3,1,7,1,42419,0,8,0,0
23,0,0,0,3,5,5,1,1,1,86750,0,2,2,0
52,0,1,1,2,5,2,1,5,0,86750,0,5,1,0
46,1,1,1,1,3,4,0,5,1,42419,0,6,1,0
45,2,1,0,3,5,5,0,8,1,86750,1,9,1,0
37,0,0,1,1,4,4,1,4,0,65715,1,4,0,0
49,4,0,0,0,1,4,1,9,1,24076,1,10,1,0
33,3,1,1,0,4,2,1,3,1,65715,1,4,0,0
54,0,0,1,0,3,3,0,4,0,42419,0,4,1,0
47,0,0,1,2,3,2,0,9,0,42419,0,9,1,0
41,1,0,1,3,4,5,0,4,0,65715,0,4,1,0
40,2,1,0,0,5,5,0,7,1,86750,1,8,1,0
39,3,1,1,0,5,5,1,9,1,86750,1,10,0,0
41,4,0,1,3,3,2,1,7,0,42419,1,7,1,0
43,3,1,0,0,2,4,0,1,0,29805,0,1,1,0
36,4,1,1,1,5,4,0,6,1,86750,1,7,0,0
49,2,0,1,3,4,1,1,7,0,65715,0,7,1,0
40,4,0,0,3,5,5,0,5,0,86750,0,5,1,0
50,1,1,1,3,4,4,0,4,0,65715,0,4,1,0
41,1,0,0,1,3,1,0,8,1,42419,0,9,1,0
37,1,1,0,3,5,4,0,2,1,86750,0,3,0,0
53,1,1,0,1,4,5,0,9,1,65715,0,10,1,0
37,3,0,0,3,3,3,0,3,1,42419,1,4,0,0
26,2,1,1,2,2,5,1,8,1,29805,0,9,2,0
29,4,1,0,0,4,2,0,5,1,65715,0,6,2,0
35,4,0,1,2,2,4,0,7,0,29805,1,7,0,0
25,1,0,1,0,2,4,1,6,1,29805,0,7,2,0
38,1,0,1,1,1,2,1,1,1,24076,1,2,0,0
53,0,1,1,2,5,2,1,2,0,86750,1,2,1,0
31,2,0,1,3,4,3,0,0,1,65715,1,1,0,0
30,3,0,1,0,2,4,1,8,1,29805,0,9,0,0
42,4,0,1,0,1,4,0,6,0,24076,0,6,1,0
35,0,0,1,2,3,3,0,0,0,42419,1,0,0,0
39,0,1,1,1,4,1,0,2,0,65715,0,2,0,0
39,4,1,1,2,2,3,1,3,1,29805,0,4,0,0
39,3,0,0,1,5,5,1,3,0,86750,1,3,0,0
23,0,1,0,1,1,4,1,4,1,24076,1,5,2,0
54,0,0,0,0,2,2,1,2,1,29805,0,3,1,0
30,2,0,1,2,5,5,1,2,1,86750,1,3,0,0
41,3,1,0,2,2,4,0,0,1,29805,1,1,1,0
53,0,1,0,1,4,3,0,6,0,65715,1,6,1,0
28,3,0,0,2,4,5,0,9,0,65715,0,9,2,0
25,4,0,1,3,4,4,0,0,1,65715,0,1,2,0
49,1,1,1,3,1,1,1,1,0,24076,0,1,1,0
27,0,0,1,2,4,1,1,3,1,65715,1,4,2,0
35,2,1,1,2,5,2,0,3,1,86750,0,4,0,0
37,4,0,0,1,2,4,1,4,1,29805,1,5,0,0
36,3,0,0,3,3,1,1,1,0,42419,0,1,0,0
51,4,1,0,3,5,3,0,3,1,86750,0,4,1,0
53,0,1,0,0,5,4,0,0,1,86750,1,1,1,0
45,3,1,1,1,4,3,1,1,0,65715,0,1,1,0
38,1,1,1,0,1,3,1,0,0,24076,1,0,0,0
40,4,1,1,3,2,1,0,9,0,29805,0,9,1,0
54,0,1,0,1,1,4,0,9,0,24076,0,9,1,0
44,2,1,1,2,2,5,0,3,1,29805,1,4,1,0
51,3,0,1,1,2,1,1,3,0,29805,1,3,1,0
44,4,0,0,2,1,1,0,6,1,24076,1,7,1,0
33,4,0,0,2,5,4,0,9,0,86750,0,9,0,0
25,1,1,1,1,2,4,1,8,0,29805,0,8,2,0
44,1,1,1,2,1,3,1,8,0,24076,0,8,1,0
32,2,1,1,0,2,4,1,4,0,29805,1,4,0,0
32,2,0,1,3,3,3,1,9,0,42419,1,9,0,0
54,0,1,1,2,5,1,1,0,0,86750,1,0,1,0
52,0,1,1,0,4,2,0,0,1,65715,0,1,1,0
43,2,0,0,2,2,5,0,5,0,29805,0,5,1,0
38,2,1,0,3,3,1,1,1,0,42419,1,1,0,0
34,3,0,0,0,4,4,1,7,0,65715,0,7,0,0
24,1,0,1,3,4,5,1,8,0,65715,1,8,2,0
31,0,1,0,3,2,2,1,3,1,29805,0,4,0,0
46,1,1,1,0,1,2,1,4,0,24076,0,4,1,0
25,1,1,1,0,2,3,0,7,0,29805,1,7,2,0
46,2,0,0,0,3,5,0,2,0,42419,0,2,1,0
52,3,0,1,1,4,3,0,4,0,65715,0,4,1,0
47,4,0,1,0,2,1,0,2,1,29805,1,3,1,0
52,3,1,0,0,1,5,1,9,0,24076,1,9,1,0
37,3,1,0,0,2,1,0,2,1,29805,0,3,0,0
25,1,1,0,0,5,3,1,2,0,86750,1,2,2,0
41,3,1,1,2,1,5,1,6,1,24076,0,7,1,0
40,0,0,0,1,3,3,1,6,1,42419,1,7,1,0
30,1,0,0,3,4,5,0,6,0,65715,0,6,0,0
48,0,0,1,0,2,3,1,9,0,29805,0,9,1,0
39,4,0,0,2,1,2,0,7,1,24076,1,8,0,0
30,1,1,0,2,5,3,0,4,1,86750,0,5,0,0
29,4,1,0,2,1,2,1,4,0,24076,0,4,2,0
52,1,1,1,3,5,3,1,3,1,86750,1,4,1,0
29,2,0,1,0,3,5,1,6,1,42419,1,7,2,0
25,3,0,1,1,4,5,0,9,1,65715,0,10,2,0
23,2,1,1,1,3,5,1,3,0,42419,1,3,2,0
26,4,1,0,2,2,4,0,1,1,29805,1,2,2,0
47,3,0,1,3,1,1,1,3,1,24076,0,4,1,0
27,1,1,1,3,5,5,1,7,1,86750,0,8,2,0
23,3,0,0,3,5,2,0,8,0,86750,1,8,2,0
37,0,0,0,1,1,5,0,2,0,24076,1,2,0,0
27,3,0,0,2,1,4,0,6,1,24076,1,7,2,0
35,0,1,1,0,2,2,0,8,0,29805,0,8,0,0
30,3,1,1,1,3,4,0,3,1,42419,0,4,0,0
30,0,0,1,2,5,2,0,9,0,86750,0,9,0,0
27,4,1,0,2,2,3,1,2,0,29805,0,2,2,0
50,2,0,0,0,3,1,1,4,1,42419,0,5,1,0
54,1,0,1,0,2,1,0,0,0,29805,0,0,1,0
31,3,0,0,0,5,4,1,2,0,86750,0,2,0,0
53,2,0,0,3,1,1,0,7,0,24076,1,7,1,0
23,1,1,0,0,1,4,1,7,1,24076,1,8,2,0
26,1,0,1,2,3,4,1,3,0,42419,0,3,2,0
25,0,0,0,0,4,4,0,1,0,65715,0,1,2,0
24,4,1,0,2,3,1,0,7,1,42419,0,8,2,0
53,4,0,1,1,4,4,0,7,0,65715,1,7,1,0
30,2,0,1,3,2,1,1,9,0,29805,0,9,0,0
45,4,1,0,1,2,4,0,3,0,29805,1,3,1,0
31,3,1,0,1,5,5,1,2,0,86750,1,2,0,0
24,4,1,1,2,4,4,0,1,0,65715,1,1,2,0
36,2,0,1,1,5,2,1,8,1,86750,1,9,0,0
36,4,1,0,2,1,4,1,0,1,24076,1,1,0,0
54,3,1,0,0,4,3,0,6,0,65715,0,6,1,0
26,0,0,0,0,3,4,1,4,0,42419,0,4,2,0
52,2,0,0,2,1,2,1,7,0,24076,1,7,1,0
53,0,0,1,0,1,2,0,3,1,24076,0,4,1,0
28,0,0,0,3,3,1,1,6,1,42419,1,7,2,0
33,0,0,0,1,1,5,0,4,0,24076,1,4,0,0
25,1,1,1,3,4,4,0,4,0,65715,0,4,2,0
30,1,1,0,1,5,1,0,8,1,86750,0,9,0,0
25,0,1,1,0,1,5,0,8,0,24076,0,8,2,0
36,2,0,0,3,4,4,1,8,1,65715,0,9,0,0
50,3,0,0,0,2,3,1,5,1,29805,0,6,1,0
35,3,0,1,1,4,4,1,5,0,65715,1,5,0,0
35,4,1,1,2,5,2,0,4,1,86750,0,5,0,0
54,2,1,0,2,4,2,1,8,0,65715,0,8,1,0
24,1,0,0,3,3,3,1,9,0,42419,0,9,2,0
35,0,1,0,0,5,1,0,7,0,86750,1,7,0,0
51,4,0,1,0,2,5,0,6,0,29805,0,6,1,0
41,3,1,0,3,3,4,1,6,0,42419,1,6,1,0
49,1,1,1,2,4,2,0,5,0,65715,0,5,1,0
28,1,1,1,1,5,1,0,4,1,86750,0,5,2,0
38,0,0,0,3,2,3,0,3,1,29805,1,4,0,0
24,3,1,1,1,3,2,0,2,1,42419,0,3,2,0
30,2,1,0,2,2,3,1,2,1,29805,0,3,0,0
39,1,0,0,0,4,4,0,5,0,65715,1,5,0,0
45,0,1,0,2,2,5,0,3,1,29805,0,4,1,0
24,2,0,0,3,1,2,0,5,1,24076,1,6,2,0
32,3,0,0,0,3,2,0,2,1,42419,1,3,0,0
50,1,0,1,3,2,4,0,3,0,29805,1,3,1,0
38,2,0,1,3,4,1,0,8,1,65715,1,9,0,0
28,2,0,0,2,4,5,0,4,0,65715,1,4,2,0
50,2,1,0,3,2,2,0,6,1,29805,0,7,1,0
24,1,0,1,2,4,5,1,9,0,65715,0,9,2,0
24,1,0,1,0,5,2,0,1,0,86750,0,1,2,0
48,4,0,1,2,5,5,1,4,1,86750,1,5,1,0
35,3,0,1,0,5,3,0,8,0,86750,1,8,0,0
46,0,1,0,2,1,2,0,2,0,24076,1,2,1,0
37,2,0,0,1,2,5,0,8,1,29805,1,9,0,0
53,4,1,1,1,1,1,0,5,1,24076,0,6,1,0
50,0,0,0,3,4,3,1,3,1,65715,0,4,1,0
24,4,1,1,2,1,3,0,6,0,24076,1,6,2,0
29,1,0,0,2,4,1,0,7,0,65715,1,7,2,0
25,2,0,1,0,4,5,1,5,0,65715,0,5,2,0
30,0,1,0,3,3,4,1,4,1,42419,1,5,0,0
45,0,0,1,2,5,1,0,5,0,86750,1,5,1,0
36,0,1,1,3,4,5,1,4,0,65715,1,4,0,0
46,0,0,0,1,3,1,1,7,0,42419,0,7,1,0
52,0,1,1,2,5,1,1,0,0,86750,0,0,1,0
45,4,0,0,2,4,2,0,6,0,65715,1,6,1,0
49,2,0,0,3,4,5,0,9,0,65715,0,9,1,0
44,1,1,1,2,1,4,0,9,0,24076,1,9,1,0
51,1,0,0,3,1,2,1,1,1,24076,1,2,1,0
29,1,0,0,2,5,1,0,8,1,86750,0,9,2,0
43,1,0,0,0,4,1,1,0,1,65715,1,1,1,0
29,4,0,0,3,2,1,0,9,0,29805,1,9,2,0
23,3,0,0,2,1,5,0,5,0,24076,0,5,2,0
39,2,0,1,1,5,5,1,8,1,86750,1,9,0,0
31,0,1,0,2,4,2,0,0,0,65715,1,0,0,0
52,3,1,0,1,4,4,1,3,1,65715,1,4,1,0
43,1,1,0,1,2,2,1,3,0,29805,0,3,1,0
35,3,0,0,0,5,3,0,8,0,86750,1,8,0,0
43,2,1,0,3,4,1,1,4,1,65715,0,5,1,0
41,0,0,1,2,1,1,0,4,1,24076,1,5,1,0
43,0,0,0,0,2,1,0,5,1,29805,1,6,1,0
41,2,0,1,2,5,2,1,0,1,86750,1,1,1,0
47,2,0,1,1,2,2,0,0,1,29805,1,1,1,0
47,1,1,1,3,1,1,1,8,0,24076,0,8,1,0
44,0,0,1,2,5,2,0,2,0,86750,0,2,1,0
53,3,1,0,2,2,5,0,3,0,29805,1,3,1,0
39,4,0,1,1,3,5,0,0,1,42419,1,1,0,0
45,4,1,1,2,1,2,0,8,1,24076,1,9,1,0
45,2,1,0,2,1,1,0,7,1,24076,1,8,1,0
54,1,1,0,1,1,2,1,1,1,24076,1,2,1,0
52,4,1,0,0,3,2,1,7,1,42419,1,8,1,0
32,0,1,1,1,3,2,1,6,1,42419,1,7,0,0
32,2,1,0,0,4,3,1,5,0,65715,1,5,0,0
26,3,0,0,3,2,5,1,0,0,29805,0,0,2,0
30,2,1,1,0,4,4,1,6,0,65715,0,6,0,0
44,3,0,0,0,2,4,0,9,0,29805,0,9,1,0
42,2,1,0,3,3,3,0,6,0,42419,1,6,1,0
42,2,0,0,0,3,2,1,8,1,42419,1,9,1,0
54,2,1,0,1,4,3,1,0,1,65715,1,1,1,0
40,3,1,1,0,5,3,0,1,1,86750,0,2,1,0
36,3,0,0,3,4,1,0,8,1,65715,1,9,0,0
40,2,1,0,1,2,5,0,8,1,29805,0,9,1,0
50,4,1,1,3,4,4,1,5,1,65715,1,6,1,0
36,1,1,0,3,1,2,1,5,0,24076,0,5,0,0
42,1,0,1,2,2,4,1,3,1,29805,0,4,1,0
43,1,1,0,2,2,4,0,3,1,29805,0,4,1,0
46,3,0,1,3,5,5,0,4,1,86750,1,5,1,0
37,3,1,1,3,3,4,1,2,1,42419,0,3,0,0
44,4,1,1,3,2,4,1,0,0,29805,1,0,1,0
52,1,0,1,2,3,3,0,0,0,42419,1,0,1,0
53,1,1,0,2,4,5,0,6,1,65715,1,7,1,0
26,2,1,1,0,1,1,0,0,0,24076,1,0,2,0
